business_name,address,phone_google,phone_website,email,website,rating,user_ratings_total,https,has_viewport,html_length,lead_score
Kingsmen Landscaping,"622 W Atlantic Ave, Audubon, NJ 08106, USA",(856) 535-5214,,,http://www.kingsmenlandscaping.com/,4.7,59,False,False,226,15
Mike's Lawn & Landscaping,"18 Crozerville Rd, Aston Township, PA 19014, USA",(610) 608-3938,,,http://mikeslawnlandscaping.com/,4.9,62,False,False,146,15
Estrada Landscaping & Services LLC,"8 Tavernier Dr, New Castle, DE 19720, USA",(302) 983-5282,,,http://www.estradalservices.com/,4.6,68,False,False,125,15
Rossland Landscaping,"3603 Downing Dr, Wilmington, DE 19802, USA",(302) 252-7419,,,http://rosslandus.com/,4.9,29,False,False,226,15
Cleaning MD's,"811 W Atlantic Ave, Laurel Springs, NJ 08021, USA",(856) 200-7074,,,http://www.cleaningmds.com/,4.7,1090,False,False,125,15
JHL Landscaping,"701 S Franklin St, West Chester, PA 19382, USA",(610) 356-4104,,,http://jhllandscaping.com/,4.7,64,False,False,146,15
Maid Beyond Cleaning,"53 Haines Mill Rd, Delran, NJ 08075, USA",(856) 417-2355,,,http://www.maidbeyondcleaning.com/,5.0,143,False,False,226,15
Cleaning Revolution,"2151 NJ-38, Cherry Hill Township, NJ 08002, USA",(856) 856-2599,,,http://cleaningrevolution.com/,4.4,101,False,True,4546,13
Duran's LANDSCAPING LLC,"4832 N Hope St, Philadelphia, PA 19120, USA",(267) 970-1289,,,http://duranlandscapingllc.com/,4.9,40,False,False,122,13
C&P Landscaping,"31 Sunset Ln, Levittown, PA 19055, USA",(215) 588-8031,,,http://www.candplandscaping.com/,4.9,49,False,True,1408,12
Shine Maid Pro,"54 E 2nd St, Moorestown, NJ 08057, USA",(856) 870-7543,,,https://shinemaidpro.com/,5.0,12,True,False,0,11
Frada Landscaping LLC: Delaware hardscaping Paver experts,"4 Peddlers Row Unit # 178, Newark, DE 19702, USA",(302) 444-1033,,,https://fradalandscapingllc.com/,5.0,78,True,False,125,10
A&Y Landscaping and Tree Services LLC,"3240 Bristol Rd Unit A, Chalfont, PA 18914, USA",(267) 843-8599,,,https://www.aylandscapingservicesllc.com/,4.7,210,True,False,125,10
Whitehouse Landscaping,"73 Airport Rd, Pottstown, PA 19464, USA",(484) 300-4290,,,https://www.whitehouselandscaping.com/,4.9,67,True,False,146,10
Elder Landscaping LLC,"728 Thorndale Rd, Aldan, PA 19018, USA",(215) 909-1420,,,,4.9,96,False,False,0,10
Clean Peak Landscaping,"1009 Squires Dr, West Chester, PA 19382, USA",(484) 401-5064,,,https://cleanpeaklandscaping.com/,5.0,212,True,False,1084,10
MARTINEZ LANDSCAPING & TREE SERVICES,"219 Minquadale Blvd, New Castle, DE 19720, USA",(302) 213-0549,,,,4.9,185,False,False,0,10
Strate Landscaping,"140 Blackwood-Barnsboro Rd, Sewell, NJ 08080, USA",(609) 280-1526,,,,5.0,18,False,False,0,10
AGM landscaping,"Chester, PA 19013, USA",(484) 378-6432,,,,4.9,40,False,False,0,10
Pazeto Maids Cleaning Service,"111 Buck Rd #200, Huntingdon Valley, PA 19006, USA",(267) 235-4244,,,,4.5,62,False,False,0,10
Martinez House Cleaning LLC,"362 Rusling St, Trenton, NJ 08611, USA",(914) 334-9606,,,,5.0,4,False,False,0,10
Sparkle House Cleaning Philadelphia,"235 S 18th St, Philadelphia, PA 19103, USA",,,,,5.0,2,False,False,0,10
Francesca cleaning service LLC,"403 Latona Ave, Ewing Township, NJ 08618, USA",(609) 203-1643,,,,5.0,21,False,False,0,10
MAYRA CLEANING SERVICE LLC,"149 Spring Garden St, Riverside, NJ 08075, USA",(609) 515-7045,,,,5.0,3,False,False,0,10
